description,category
"a Microsoft decision (search) engine that attempts to understand the context behind the search, which Microsoft claims gives users better results.",Data/Technology
a provider of scientific innovation lifecycle management software and services.,Scientific Research
"gives ordinary people corporate citizenship metrics by allowing them to see shareable tax data, jobs data, and other financial information hidden in regulatory documents.",Governance
an asset management firm that works with individuals and institutions from all over the world.,Finance & Investment
"a global business and financial news information company, providing data, analytics, news and insight",Finance & Investment
"provides management consulting, technology, and engineering services.",Research & Consulting
"a global management consulting firm that identifies opportunities and challenges for clients from the private, public, and nonprofit sectors.",Research & Consulting
"We support our customers with a variety of solutions including commercial open source maintenance, spatial IT infrastructure, and data management and analysis tools.",Geospatial/Mapping
"a global investment management firm, and advises certain private investment funds and institutional clients.",Finance & Investment
a financial information company that provides data through web-based software to drive better decision-making.,Finance & Investment
collects and organizes the data that helps companies solve critical property-related problems.,Business & Legal Services
takes local government data on building permits in different locations and visualizes this information on its map.,Housing/Real Estate
takes the pain out of remodeling your home.,Housing/Real Estate
Business & Legal Resources helps U.S. businesses simplify compliance with state and federal legal requirements.,Business & Legal Services
"provides trusted, independent analysis and forecasts on countries, industries and financial markets.",Business & Legal Services
"allows financial analysts, accountants, lawyers and investors to instantly access, work with and share SEC filing data.",Finance & Investment
"a family owned management and investment firm, primarily focused on education, research and information services companies.",Finance & Investment
"provides the Anzo software suite, an open platform for building interactive Unified Information Access solutions and rapidly using data from diverse sources.",Data/Technology
has served small businesses for more than a decade by developing and delivering working capital solutions.,Finance & Investment
"to transform government data into a form whereby it can be tagged, shared, secured and mashed up. ",Data/Technology
"by finance and technology professionals, Capital Cube's platform converts data assets into narrative forms.",Finance & Investment
offers solutions to colleges and universities that allow them to reach and connect with students.,Education
"a tech startup that has launched a completely self-serve data entry web service which extracts structured information, including handwriting, from paper forms.",Data/Technology
"Your entire healthcare system, hospital, or clinical network at a glance.",Data/Technology
provides vehicle history information on used cars and maintains a vehicle history database available in North America.,Transportation
"offers a cloud-based platform that allows users to create forms, publish databases or create business web applications fast and without programming.",Data/Technology
"works with cancer institutions to license proprietary technologies and complete development and validation, making tests available to individuals afflicted with a rare cancer.",Scientific Research
"helps track the world's most promising private companies, their investors, their acquirers and the industries in which they compete.",Finance & Investment
a products and service company dedicated to unleashing the value of life science and healthcare data while reducing the cost to manage it.,Scientific Research
a research institution tracking money in U.S. politics and its effect on elections and public policy.,Research & Consulting
to contribute to the systemic improvement of health care delivery and the health of communities.,Healthcare
"provides guidance spanning drug discovery and development ‚Äì with modeling and analysis that include molecular modeling, prediction of drug-drug interactions, and clinical trial simulation.",Scientific Research
provides end-to-end IT and business process services that facilitate the ongoing evolution of its clients' businesses.,Business & Legal Services
"is a global consulting firm that offers economic, financial, and strategy expertise to major law firms, corporations, accounting firms, and governments.",Research & Consulting
is an investment services firm that advocates for individual investors and the financial professionals who serve them.,Finance & Investment
"a division of the American Chemical Society, finds, collects and organizes all publicly disclosed chemical substance information.",Scientific Research
"a platform to help parents find child care and help government, non-profits and investors with data for investing in child care.",Lifestyle & Consumer
" through its subsidiaries, provides property and casualty insurance to businesses and individuals.",Insurance
"provides consumers, corporations, governments and institutions with a broad range of financial services and products.",Finance & Investment
"provides cities and utilities a solution to manage their assets, ensure compliance with local ordinances, improve safety, and increase overall efficiency using mobile scanning.",Geospatial/Mapping
" a real time, mobile civic engagement platform that lets residents easily interact with their government.",Governance
"builds tools that foster civic participation, civic education and government transparency, and works with governments on improving government data policy.",Governance
makes official data about buildings easily findable and usable.,Housing/Real Estate
an online platform that provides a platform where people can civically engage on issues that matter to them.,Governance
"helps companies, non-profits, and campaigns leverage their data to develop smarter strategy, make better decisions, and build stronger, data-driven organizations.",Data/Technology
an unbranded platform that connects the residential solar industry with capital markets.,Energy
We're bringing transparency to the health-care marketplace by telling people what stuff costs.,Healthcare
"makes it easy for business users to find, combine and interactively explore data across first-party and third-party sources.",Data/Technology
The Climate Corporation aims to help farmers around the world protect and improve their farming operations with uniquely powerful software and insurance products.,Food & Agriculture
builds comprehensive oncology solutions that enables providers to reduce the cost of managing cancer without compromising patient care.,Healthcare
"platform makes geospatial data from hundreds of different sources accessible for different devices and automotive manufacturers, developers and enterprises.",Geospatial/Mapping
"is a software development company and creator of Gender Gap, an award-winning app developed with Department of Labor data on gender inequality in compensation.",Lifestyle & Consumer
"helps residents and governments harness technology to solve problems; a government truly by the people, for the people, in the st century.",Governance
a cloud computing company that leverages concept-based technology to deliver software solutions to the BioPharma industry.,Data/Technology
"a comprehensive and accurate business intelligence platform for discovering and analyzing technologies emerging from universities, companies and inventors.
","Data/Technology,"
provides financial aid estimates to prospective college students.,Finance & Investment
The College Board seeks to ensure that every student in the US has access to a high-quality education and is prepared to succeed in college.,Education
"Care provides a transparent healthcare marketplace, where users are able to comparison shop for their health services from the highest quality providers.
",Healthcare
"Bioscience provides data, products, and solutions to support pharma, diagnostics, and personalized medicine business applications in oncology.",Scientific Research
Compliance & Risks provides companies with web-based solutions to get their products to market fully compliant with all applicable global and/or local legislations.,Business & Legal Services
Computer Packages Inc. provides intellectual property management systems and patent annuity payment services.,Data/Technology
 empower governments and businesses to prepare enterprise-wide strategy and bring customer-centric or citizen-centric organizational culture.,Lifestyle & Consumer
technology solutions empower students by informing their academic and career decisions.,Education
"provides Web data extraction and monitoring to help businesses make smarter decisions, reduce costs and grow revenue.",Data/Technology
"Construction Monitor provides timely, detailed and accurate building permit information, using state of the art technologies to continuously improve its work processes.",Housing/Real Estate
"Consumer Reports is an independent, nonprofit organization whose mission is to work for consumer empowerment and a fair, just, and safe marketplace for all consumers.",Lifestyle & Consumer
"CoolClimate provides a complete, highest-resolution, peer-reviewed model of carbon footprints associated with transportation, foods, goods and services for households, businesses, organizations and cities.",Environment & Weather
"Copyright Clearance Center is a global rights broker for books, journals, blogs, movies and more.",Business & Legal Services
"maintains one of the largest and most comprehensive real estate, mortgage-finance and property location databases in the country.",Housing/Real Estate
"provides global knowledge of costs, business functions, network modeling, telecommunications, economics, regulation, and applying the right data to make accurate business decisions.",Business & Legal Services
is a web-based credit and financial management service that helps more than million consumers track their credit and finances for free. ,Finance & Investment
"Credit Sesame is a free tool that provides a free credit score, credit monitoring, and a way to save money on loans and credit.",Finance & Investment
"an on-demand, crowd-sourced service providing data science expertise to analytics managers and their teams in enterprises and professional services firms. 
",Data/Technology
a healthcare company dedicated to saving lives through improving quality of care through metrics.,Healthcare
Data logic provides marketing infrastructure for the data-driven era by connecting digital advertising to offline sales.,Data/Technology
"deploys civic apps, builds custom visualizations, and trains people to work with open data.",Governance
"brings complex and diverse data together so you can search, compare, visualize and share it in one place and one format.",Data/Technology
provides global import/export data to help take business across borders.,Data/Technology
a eCommerce Price Intelligence product that lets eCommerce portals monitor price changes to products across the Web in a easy manner.,Data/Technology
"Deloitte works in four areas ‚ audit, financial advisory, tax and consulting ‚ and combines the talents of those groups to address clients‚ needs.",Research & Consulting
"helps financial institutions tap into ""Big Data"" to make better credit decisions. The company, products enable real-time analysis of consumer and small business profiles.",Finance & Investment
We make great software for government.,Governance
"helps governments, NGOs, and development agencies to solve complex issues with open data and open technologies.",Governance
Docket runs full-text searches across millions of law-suits and can deliver real-time alerts to your inbox or mobile device.,Business & Legal Services
" a provider of news and business information, delivering content to consumers and organizations via newspapers, Web sites, apps, etc.",Finance & Investment
"a global source of business insight, delivered through a commercial database containing information on over million corporate locations in over countries.",Business & Legal Services
Earth Networks gathers and analyzes atmospheric observations using the world‚  largest weather observation and lightning detection networks.,Environment & Weather
Earth is a mobile application that allows you to explore many other earth and environmental science topics as you travel and explore with your finger.,Geospatial/Mapping
Earthquake Alert! shows earthquakes Magnitude and higher from all over the U.S.,Geospatial/Mapping
"Eat Sleep Shop helps consumers search for places to eat, shop & sleep, provides customer reviews and health, safety & labor highlights.",Lifestyle & Consumer
is a global supply chain sustainability service provider that uses an open cloud-based sustainability platform.,Business & Legal Services
" generates actionable intelligence from automated reviews of financial documents, where gigabytes of data are simultaneously reviewed to identify market risks and opportunities.",Finance & Investment
"makes mass transit simple, providing an accurate, reliable, and interactive transit experience that helps you get where you want to go.",Transportation
provides technologies and tools to help businesses design infrastructures to store and protect information so that it can be made accessible and actionable.,Data/Technology
"Energy Points uses a unifying metric, big data and comprehensive analytics to manage enterprise energy resources, such as electricity, fuels, water, and materials.",Energy
Energy Solutions Forum provides the energy industry with U.S. energy and environmental policy information to support growth of domestic energy markets.,Energy
"Enervee is an energy efficiency data and marketing platform, enabling consumers, businesses and governments to purchase the most energy efficient products.",Energy
"By harmonizing and indexing the world's public data, Engima empowers professionals to discover hidden facts and connections like never before.",Data/Technology
Ensco is a global provider of offshore drilling services to the petroleum industry.,Energy
"Environmental Data provides customers with the solutions they need to assess, understand and manage environmental risk.",Environment & Weather
"Epsilon works with marketers, using customer intelligence to create connections between brands and customers with solutions that integrate data, creativity and robust technologies.",Data/Technology
"The Demand Equal Pay for Women app is available on Careerthoughts.com, a job search/career site with analysis of data on gender equality in compensation.",Business & Legal Services
"Equifax leverages one of the largest sources of consumer and commercial data, along with advanced analytics and proprietary technology, to create customized insights for business.",Finance & Investment
"Equilar is an independent provider of high-quality executive data, tools, and analysis.",Data/Technology
"Ernst & Young is a professional services firm that provides assurance, tax, transactions and advisory services to companies.",Finance & Investment
"eScholar applies research and data to personalize education, helping agencies to more effectively manage and use data to improve quality and effectiveness of educational programs.",Education
Esri is the world leader in geographic information systems and has a long history of using open data.,Geospatial/Mapping
"Estately empowers online shoppers in most major US cities with a simple, fast path to finding the home of their dreams.",Housing/Real Estate
Everyday Health combines digital content from leading health brands with data and analytics technology to provide personalized content experience to our users. ,Lifestyle & Consumer
"Evidera provides health economics, outcomes research, market access, data analytics and epidemiology services to life sciences organizations worldwide.",Healthcare
"Experian provides information, analytical tools and marketing services to organizations and consumers to help manage the risk and reward of commercial and financial decisions.",Finance & Investment
"EHDP provides customized desktop and web-based data query systems (Vitalnet) for analyzing large, complex data sets.",Healthcare
"Exversion allows you to search datasets, consume through one API or upload your own data, and collaborate, publish, share or version-control with  your community.",Data/Technology
"Ez-XBRL uses innovative technologies to provide solutions for financial research, analytics and regulatory compliance.",Finance & Investment
FactSet Research Systems provides multinational financial data and analytic software to financial institutions. ,Finance & Investment
"Factual is a data company that helps developers, publishers, and advertisers build more relevant and personalized mobile experiences using the context of location.",Data/Technology
"Farmers Insurance Group insures vehicles, homes and small businesses and provides a wide range of other insurance and financial services products.",Insurance
"FarmLogs is a way for farmers to forecast and measure profits, track expenses, manage risk, and get informed all from one place.",Food & Agriculture
"Fastcase puts the American law library on desktops by providing online access to millions of cases, statutes, and regulations.",Business & Legal Services
"Fidelity Investments provides a wide range of services, including investment management, retirement planning, brokerage, and human resources and benefits outsourcing services.",Finance & Investment
"FindTheBest's mission is to collect, structure, and connect the world‚ data to lead people to the best conclusions.",Lifestyle & Consumer
FirstFuel Software is a commercial energy analytics company that helps utilities and government agencies deliver scalable energy efficiency across their commercial building portfolios.,Energy
"FirstPoint, Inc. is a national provider of information and operation services, offering Equifax credit solutions, revenue cycle management, decision data and organizational management.",Business & Legal Services
"Fitch Ratings is a provider of credit ratings, commentary and research.",Finance & Investment
FlightAware offers free flight tracking services for both private and commercial air traffic.,Transportation
FlightStats provides a set of web services that provide global travel information.,Transportation
FlightView Inc. is a developer and provider of real-time flight information software solutions for the aviation and travel industry.,Transportation
"Food+Tech Connect is a media and research company building a network for innovators transforming the business of food, through news, analysis and research, and events.",Food & Agriculture
"Forrester is a research and advisory firm serving three client segments by providing proprietary research, consumer and business data, custom consulting, events and online communities.",Research & Consulting
"Foursquare allows consumers to check in at local businesses, to tell their friends where they like to go, and to post tips and photos.",Lifestyle & Consumer
Fujitsu works to shape the future of society and business by using the power of ICT to contribute to their clients' success.,Data/Technology
Funding Circle USA is an online loan marketplace that connects small businesses looking for up to with investors.,Finance & Investment
FutureAdvisor is an online investment advisor that automatically manages investments and works with existing investments plans.,Finance & Investment
"Our challenge to the wage gap is Aequitas, a mobile cloud solution, that enables users to take control of their career by making informed decisions.",Lifestyle & Consumer
"Gallup consultants help private and public sector organizations boost organic growth through measurement tools, strategic advice, and education. ",Research & Consulting
Galorath's SEER tools help remove the risk and uncertainty from projects by providing predictions of their time and cost to develop.,Business & Legal Services
"Garmin's products provide geospatial information for automotive, aviation, marine, outdoor, and sports uses.",Geospatial/Mapping
Genability helps New Energy companies build energy intelligence into how their products work and are sold.,Energy
GenoSpace has developed software systems for securely storing vast amounts of genomic and health data and providing it in formats specific to diverse user communities.,Healthcare
"Geofeedia is a location-based, open source social media monitoring and mining, complementing traditional keyword monitoring to gather data on a wider range of social activity.",Geospatial/Mapping
"GeoLytics provides demographic data, census demographics, market research data, and geocoding for social researchers and business marketing.",Data/Technology
"Geoscape provides consumer intelligence via strategic business consulting, database-driven analytics and automated systems.",Lifestyle & Consumer
GetRaised uses government and other data to tell users whether they are being paid fairly and to help them construct a raise request.,Finance & Investment
GitHub is at code host with over million repositories and tools are open to the community for public projects and secure for private projects.,Data/Technology
Glassy Media is a production company hatched out of the MIT Media Lab that makes tools to help people connect with information and facilitate transparency.,Governance
Golden Helix helps genetic research groups working with large DNA-sequences or microarray data to overcome the frustration & challenges of bioinformatic roadblocks.,Scientific Research
"GoodGuide provides the world's largest and most reliable source of information on health, environmental, and social impacts of consumer products.",Lifestyle & Consumer
"Google Maps is a web mapping service application and technology provided by Google, powering many map-based services.",Geospatial/Mapping
"Google Labs' Public Data Explorer makes large datasets easy to explore, visualize and communicate.",Data/Technology
EZGrantFiling provides a secure online environment to store and access vital grant documents and translate data into federal grant administrative reports.,Finance & Investment
"Govini transforms big data generated by numerous federal, state, and municipal agencies into tools. analytics and benchmarks that executives need to make informed business decisions.",Governance
GovTribe makes products to help people who are interested in the world of government contracting.,Governance
FDAzilla (www.fdazilla.com) provides business intelligence to professionals who work smarter with the FDA.,Governance
gRadiant Research LLC is in the business of developing  thermal therapy as a replacement for traditional excisional surgery.,Research & Consulting
"Graebel is a large, independently owned and operated, fully integrated corporate and residential relocation company.",Transportation
"Graematter created SOFIE, a web-based, proprietary information analytics system that consolidates information from dozens of regulatory data sources into a system with unique search capabilities.",Data/Technology
"Granicus provides cloud-based technologies for government transparency, legislative efficiency, and citizen engagement.",Governance
"GreatSchools is the leading independent source of pre school performance information, with profiles of public, public charter, and private schools.",Education
"GuideStar's mission is to revolutionize philanthropy by providing information that advances transparency, enables users to make better decisions, and encourages charitable giving.",Governance
Biomedicine is an oncology drug discovery company.,Scientific Research
Harris is an international communications and information technology company serving government and commercial markets in more than countries.,Environment & Weather
"HDScores makes restaurant inspection data consumable for our clients in an easy to read, search and understand format.",Lifestyle & Consumer
"Headlight  empowers local governments and non-profits to delivers publicly available data on their economy and workforce in easy-to-access, visually appealing dashboards.",Data/Technology
Healthgrades is a leading online resource for comprehensive information about physicians and hospitals.,Healthcare
"Healthline offers readers and site visitors objective, trustworthy, and accurate health information, guided by the principles of responsible journalism and publishing.",Healthcare
HealthMap brings together disparate data sources to achieve a unified view of the current state of infectious diseases and their effect on health.,Healthcare
HealthPocket is a free customer advocacy website that allows consumers to compare and rank health plans in their area.,Healthcare
HelloWallet improves the performance of organizations by providing independent guidance that aligns corporate spending with human capital needs.,Finance & Investment
"HERE, a Nokia business, offers the world's freshest maps and location experiences across multiple screens and operating systems.",Geospatial/Mapping
Honest Buildings is a New York City-based startup that has created a web platform to connect professionals in the real estate construction and design space. ,Housing/Real Estate
HopStop provides door-to-door mass transit directions and maps within several large metropolitan markets.,Transportation
"Housefax aggregates a variety of public and proprietary data, gathering accurate and reliable property details from the most accredited sources into one easy-to-understand report.",Housing/Real Estate
"How's My Offer allows students to anonymously compare college award offer letters with others, and help other students make better decisions in the future too.",Education
"Instrumented. Intelligent. Interconnected.

IBMers works with companies, cities and communities around the world to build a smarter planet.",Data/Technology
Ideas uses behavioral economics to do social good and have impact at scale.,Research & Consulting
iFactor Consulting develops software products and offers professional services for the utility industry.,Research & Consulting
IFI CLAIMS provides convenient and affordable access to a global patent data repository that can be easily integrated into party applications and services.,Data/Technology
iMedicare saves seniors and pharmacies money on Medicare.,Healthcare
Impact Forecasting develops models that help analyze the financial implications of catastrophic events so that our clients achieve a greater understanding of their risks.,Insurance
"Impaq applies quantitative and qualitative research to conduct impact evaluations and research studies on workforce development, health, and education programs and policies.",Research & Consulting
Import.io's mission is to structure the web and make web data available to everyone.,Data/Technology
"IMS Health is a information, services and technology company dedicated to making healthcare perform better.",Healthcare
InCadence is a professional services firm that provides comprehensive integration services for Salesforce.com and the Force.com cloud platform.,Data/Technology
"Indoo.rs is a technology development company that creates indoor mapping, localization, and routing technology as well as SDK for application developers and device manufacturers.",Geospatial/Mapping
"The InfoCommerce Group helps clients identify, design and launch new data products; improve existing products and develop market-aware business strategies.",Research & Consulting
"Informatica Corporation provides data integration software and services that help organizations to access, integrate, and trust all their information assets.",Data/Technology
"InnoCentive crowdsources innovation problems to people who compete to provide ideas and solutions to important business, social, policy, scientific, and technical challenges.",Scientific Research
"Innography combines patent data with many other data sources and analytics and visualizations to provide unique insights about patent assets, competitor actions and technology trends.",Business & Legal Services
"Innovest provides a trust accounting and reporting system product that is a secure, integrated, real-time, accrual based system (SaaS).",Finance & Investment
Inovalon is a technology company that combines data analytics with targeted interventions to achieve meaningful impact in clinical outcomes and financial performance in healthcare.,Healthcare
"INRIX develops and operates a traffic intelligence platform, delivering smart data and analytics to solve transportation issues worldwide.",Transportation
"Intelius specializes in public records information, offering services to consumers and businesses which include background checks and identity theft protection.",Business & Legal Services
"Intermap provides on-demand geospatial solutions and is focused on improving the way people, businesses, and governments use location-based information.",Geospatial/Mapping
Investormill makes it simple to find and chart economic and financial data.,Finance & Investment
Iodine combines large healthcare datasets with a user's individual needs and background to create a personalized resource for better understanding and decision-making about health.,Healthcare
IPHIX is an IT consultancy in the area of business data standardization.,Data/Technology
iRecycle provides access to more than million ways to recycle plus the latest in green news and ideas to match individuals' lifestyle.,Environment & Weather
iTriage is a free mobile app and website that helps people make better health care decisions and take charge of their health.,Healthcare
"Audit Analytics is an independent research provider of audit, regulatory and disclosure intelligence.",Data/Technology
"IW Financial is a provider of environmental risk assessment, social responsibility, and corporate governance research for investors.",Finance & Investment
J.J. Keller helps businesses deal with the complex and constantly evolving government regulations that affect their operations every day.,Business & Legal Services
"J.P. Morgan Chase offers investment banking, financial services for consumers, small business and commercial banking, financial transaction processing, asset management and private equity.",Finance & Investment
Our products streamline the process for data-rich organizations to publish Open Data while enabling data consumers with easy access and use.,Data/Technology
Junyo leverages the power of data and analytics to improve learning processes.,Education
Jurispect is a startup company in beta phase.,Business & Legal Services
Kaiser Permanente is a health care and not-for-profit health plan provider.,Healthcare
"karmadata is healthcare (big) data, simplified. We offer a collection of the world's healthcare data that is live, visual, and linked.",Healthcare
Keychain Logistics is an online marketplace to create efficiency and safety in the truck-based logistics brokerage business.,Transportation
KidAdmit is the first preschool admissions solution that directly connects parents and schools through an electronic application. ,Education
"Kimono turns unstructured data on websites into APIs without writing any code - transforming data into structured, manipulable data sets.",Data/Technology
"KLD is an independent research firm providing sustainability research and indexes: clients use KLD to integrate environmental, social and governance (ESG) criteria into investment decisions.",Finance & Investment
Knoema is a knowledge platform used to connect data with analytical and presentation tools.,Data/Technology
"The Knowledge Agency employs research and analytics to help our clients identify, measure, and manage opportunities for, and threats to, their competitiveness and value-production.",Research & Consulting
"KPMG is a global network of professional firms providing Audit, Tax and Advisory services.",Business & Legal Services
KBRA provides the investment community with an alternative by delivering ratings designed to meet the highest standards for accuracy and timeliness.,Finance & Investment
"Kyruus provides Patient Access & Referral Management solutions enabling hospital systems to match patient demand to provider supply, engender patient retention, and maximize staff productivity.",Healthcare
Lawdragon provides legal news and information about lawyers and law schools to consumers and others who need high-quality information to make informed choices.,Business & Legal Services
"LSP uses scientific methods and its own copyrighted software to collect, code and publish statutory and regulatory legal information that is up-to-date, reliable and cost-efficient.",Business & Legal Services
LegCyte leverages technology to make legislation easier to understand and generates legislative insight and analytics and makes information sharing simple.,Governance
"LegiNation, Inc was founded to make state level legislation more readily available to professionals who need it and, more importantly, to the public at large.",Governance
"LegiStorm is an online source for Congressional staff salaries, financial disclosures, trips, gifts and earmarks.",Governance
Lenddo is an online platform that helps the emerging middle class use their social connections to build their creditworthiness and access local financial services.,Finance & Investment
Lending Club is an online financial community that connects creditworthy borrowers to investors so both benefit financially - providing an alternative to bank lending.,Finance & Investment
Level One Technologies develops powerful web based applications that help businesses become more efficient and profitable.,Data/Technology
"LexisNexis is a provider of content-enabled workflow solutions designed for professionals in the legal, risk management, corporate, government, law enforcement, accounting, and academic markets.",Business & Legal Services
"Liberty Mutual Insurance Company provides insurance products and services for restaurants, hotels, manufacturing businesses, and individuals and their families.",Insurance
"By providing a platform for idea-sharing, Lilly Open Innovation Drug Discovery lowers the barrier for collaborations between investigators working inside and outside an organization.",Scientific Research
"Liquid Robotics provides data services with Wave Glider, a marine robot that helps address climate change, national security, and offshore energy and resource management.",Geospatial/Mapping
"Locavore enables users to find local, in-season food at nearby farmers' markets and farms.",Food & Agriculture
LogixData provides actionable insight and intelligence on publicly traded companies.,Finance & Investment
"LoopNet enables users to search listings, research properties, and list availabilities for commercial real estate.",Housing/Real Estate
"Accurately Capture, Verify, and Geocode Any Address Worldwide",Geospatial/Mapping
Lose It! uses proven principles of weight loss (tracking and peer support) to help people manage their weight and improve their health.,Lifestyle & Consumer
"Loveland Technologies is dedicated to putting America online, one parcel at a time.",Data/Technology
"Lucid's BuildingOS integrates data from systems, meters, and devices in commercial buildings into a single platform with intuitive energy management tools that everybody can use.",Energy
"Municipal Market Solutions Delivering Business
Efficiencies, Data and Regulatory Support",Data/Technology
Mango Transit is an advanced public transit app for Windows Phone.,Geospatial/Mapping
Mapbox is an open source platform for designing and publishing maps and geographical data for both mobile and on the web.,Geospatial/Mapping
"Maponics specializes in location-based data and information for businesses, including School, Neighborhood, Subdivision, Shopping, College Campus, City, ZIP Code, and Carrier Route Boundaries.",Geospatial/Mapping
"MapQuest helps more than people per month, providing tools for Internet and mobile users, developers, and businesses.",Geospatial/Mapping
"Marinexplore has built the ocean's big data platform, making sense of dimensional marine data at scale.",Geospatial/Mapping
Data In... MarketSense Out!,Business & Legal Services
"Marlin & Associates is a boutique financial advisory firm and investment bank advising companies that provide technology, digital information, and healthcare-related products and services.",Finance & Investment
"Marlin, Alter & Associates provides background information on individuals and businesses.",Business & Legal Services
McGraw Hill Financial is a content and analytics company serving the capital and commodity markets.,Finance & Investment
"McKinsey & Company is a global management consulting firm that advises the world's leading businesses, governments, and institutions.",Research & Consulting
"MedWatcher is a user-friendly tool for tracking and reporting side effects of drugs, medical devices, and vaccines.",Healthcare
"Mercaris provides critical market data and online trading for organic, non-GMO, and other identity-preserved agricultural commodities and ingredients.",Food & Agriculture
Merrill DataSite provides a secure virtual workspace service that optimizes collaboration and information management across enterprises.,Data/Technology
"Merrill Lynch is a provider of wealth management, securities trading and sales, corporate finance and investment banking services.",Finance & Investment
"MetLife, Inc. is a provider of insurance, annuities and employee benefit programs, serving million customers.",Insurance
"mHealthCoach facilitates routine follow up visits, which are scripted as mobile and web sessions that keep providers, patients and care-givers connected in-between clinical visits. ",Healthcare
"MicroBilt Corporation, is a source and provider of decision critical information that assists businesses in reducing risk and managing their business.",Business & Legal Services
The Windows Azure Marketplace is an online market for buying and selling finished Software as a Service applications and premium datasets.,Data/Technology
Mint automatically pulls all your financial information into one place. It does all the work of organizing and categorizing your spending for you.,Finance & Investment
"Moody's Investors Service is a leading provider of credit ratings, research, and risk analysis.",Finance & Investment
"Morgan Stanley is a global financial services company that provides products and services to corporations, governments, financial institutions and individuals.",Finance & Investment
"Morningstar is a global provider of independent investment research serving individual investors, financial advisors, asset managers, and retirement plan providers and sponsors.",Finance & Investment
Mozio is an airport ground transportation search and booking engine and API.,Transportation
MuckRock makes it easier to file Freedom of Information Act requests so that its clients  can focus on analyzing and reporting on the issues.,Business & Legal Services
Munetrix is a web-based information source designed to give easy-to-understand access financial information for municipal governments and school districts in a publicly accessible website.,Governance
